from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2019-12-03T07:49:00-08:00,2019-12-03T08:09:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":31.37707901001,""effduration"":1200,""intensity"":0,""manual_distance"":-1,""manual_calories"":102.827003479,""pause_duration"":0,""steps"":1267,""distance"":945.94714355469,""metcumul"":48.378421783447}",,2019-12-16T16:24:46-08:00
2019-12-03T08:30:00-08:00,2019-12-03T08:41:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":27.885227203369,""effduration"":660,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":1126,""distance"":840.67614746094,""metcumul"":36.220283508301}",,2019-12-16T16:24:47-08:00
2019-12-06T11:57:00-08:00,2019-12-06T12:08:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":20.232889175415,""effduration"":660,""intensity"":0,""manual_distance"":-1,""manual_calories"":56.554851531982,""pause_duration"":0,""steps"":817,""distance"":609.97540283203,""metcumul"":29.299263000488}",,2019-12-16T16:24:48-08:00
2019-12-06T12:14:00-08:00,2019-12-06T12:23:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":18.64793586731,""effduration"":540,""intensity"":0,""manual_distance"":-1,""manual_calories"":46.272151947021,""pause_duration"":0,""steps"":753,""distance"":562.19274902344,""metcumul"":25.865783691406}",,2019-12-16T16:24:48-08:00
2019-12-07T11:32:00-08:00,2019-12-07T11:48:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":32.020961761475,""effduration"":960,""intensity"":0,""manual_distance"":-1,""manual_calories"":82.261604309082,""pause_duration"":0,""steps"":1293,""distance"":965.35894775391,""metcumul"":44.96076965332}",,2019-12-16T16:24:49-08:00
2019-12-07T13:08:00-08:00,2019-12-07T13:25:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":34.002151489258,""effduration"":1020,""intensity"":0,""manual_distance"":-1,""manual_calories"":87.402954101562,""pause_duration"":0,""steps"":1373,""distance"":1025.0871582031,""metcumul"":47.75260925293}",,2019-12-16T16:24:50-08:00
2019-12-07T16:34:00-08:00,2019-12-07T16:50:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":34.596500396729,""effduration"":960,""intensity"":0,""manual_distance"":-1,""manual_calories"":82.261604309082,""pause_duration"":0,""steps"":1397,""distance"":1043.0057373047,""metcumul"":47.290176391602}",,2019-12-16T16:24:50-08:00
2019-12-08T16:23:00-08:00,2019-12-08T16:36:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":25.606864929199,""effduration"":780,""intensity"":0,""manual_distance"":-1,""manual_calories"":66.837554931641,""pause_duration"":0,""steps"":1034,""distance"":771.98852539062,""metcumul"":36.159652709961}",,2019-12-16T16:24:51-08:00
2019-12-08T17:40:00-08:00,2019-12-08T17:47:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":14.586500167847,""effduration"":420,""intensity"":0,""manual_distance"":-1,""manual_calories"":35.989452362061,""pause_duration"":0,""steps"":589,""distance"":439.7497253418,""metcumul"":20.192493438721}",,2019-12-16T16:24:51-08:00
2019-12-14T13:55:00-08:00,2019-12-14T14:05:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":23.452320098877,""effduration"":600,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":947,""distance"":707.03405761719,""metcumul"":31.211017608643}",,2019-12-16T16:24:55-08:00
2019-12-17T17:29:00-08:00,2019-12-17T17:51:00-08:00,,,America/Chicago,Walking,"{""calories"":51.929019927979,""effduration"":1320,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":2104,""distance"":1570.8546142578,""metcumul"":69.125648498535}",,2020-01-10T22:09:18-08:00
2019-12-17T18:12:00-08:00,2019-12-17T18:20:00-08:00,,,America/Chicago,Walking,"{""calories"":14.561847686768,""effduration"":480,""intensity"":0,""manual_distance"":-1,""manual_calories"":40.991687774658,""pause_duration"":0,""steps"":590,""distance"":440.4963684082,""metcumul"":21.214891433716}",,2020-01-10T22:09:18-08:00
2019-12-17T18:53:00-08:00,2019-12-17T19:10:00-08:00,,,America/Chicago,Walking,"{""calories"":37.762073516846,""effduration"":1020,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":1530,""distance"":1142.3040771484,""metcumul"":51.269119262695}",,2020-01-10T22:09:19-08:00
2019-12-19T06:52:00-08:00,2019-12-19T07:17:00-08:00,,,America/Chicago,Walking,"{""calories"":61.924861907959,""effduration"":1500,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":2509,""distance"":1873.2292480469,""metcumul"":81.196891784668}",,2020-01-10T22:09:20-08:00
2019-12-19T07:56:00-08:00,2019-12-19T08:17:00-08:00,,,America/Chicago,Walking,"{""calories"":51.657527923584,""effduration"":1260,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":2093,""distance"":1562.6420898438,""metcumul"":67.879272460938}",,2020-01-10T22:09:21-08:00
2020-01-04T12:17:00-08:00,2020-01-04T12:24:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":14.413759231567,""effduration"":420,""intensity"":0,""manual_distance"":-1,""manual_calories"":35.663387298584,""pause_duration"":0,""steps"":584,""distance"":436.01672363281,""metcumul"":20.080501556396}",,2020-01-10T22:09:23-08:00
2020-01-05T13:56:00-08:00,2020-01-05T14:16:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":45.58597946167,""effduration"":1200,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":1847,""distance"":1378.9777832031,""metcumul"":61.369327545166}",,2020-01-10T22:09:24-08:00
2020-01-10T12:26:00-08:00,2020-01-10T12:37:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":21.816492080688,""effduration"":660,""intensity"":0,""manual_distance"":-1,""manual_calories"":56.137660980225,""pause_duration"":0,""steps"":889,""distance"":663.73095703125,""metcumul"":30.911924362183}",,2020-01-15T12:43:26-08:00
2020-01-13T13:23:00-08:00,2020-01-13T13:46:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":40.41817855835,""effduration"":1380,""intensity"":0,""manual_distance"":-1,""manual_calories"":117.37874603271,""pause_duration"":0,""steps"":1647,""distance"":1229.6568603516,""metcumul"":59.889709472656}",,2020-01-15T12:43:28-08:00
